PODLASKIE,ogółem,2012,52
PODLASKIE,ogółem,2013,56
PODLASKIE,ogółem,2014,55
PODLASKIE,ogółem,2015,50
PODLASKIE,ogółem,2016,46
PODLASKIE,ogółem,2017,44
PODLASKIE,ogółem,2018,40
PODLASKIE,ogółem,2019,41
PODLASKIE,ogółem,2020,47
PODLASKIE,ogółem,2021,44
POMORSKIE,ogółem,2009,80
POMORSKIE,ogółem,2010,83
POMORSKIE,ogółem,2011,83
POMORSKIE,ogółem,2012,86
POMORSKIE,ogółem,2013,97
POMORSKIE,ogółem,2014,99
POMORSKIE,ogółem,2015,98
POMORSKIE,ogółem,2016,98
POMORSKIE,ogółem,2017,124
POMORSKIE,ogółem,2018,101
POMORSKIE,ogółem,2019,92
POMORSKIE,ogółem,2020,87
POMORSKIE,ogółem,2021,84
ŚLĄSKIE,ogółem,2009,49
ŚLĄSKIE,ogółem,2010,48
ŚLĄSKIE,ogółem,2011,50
ŚLĄSKIE,ogółem,2012,53
ŚLĄSKIE,ogółem,2013,57
ŚLĄSKIE,ogółem,2014,52
ŚLĄSKIE,ogółem,2015,50
ŚLĄSKIE,ogółem,2016,49
ŚLĄSKIE,ogółem,2017,55
ŚLĄSKIE,ogółem,2018,51
ŚLĄSKIE,ogółem,2019,49
ŚLĄSKIE,ogółem,2020,46
ŚLĄSKIE,ogółem,2021,46
ŚWIĘTOKRZYSKIE,ogółem,2009,18
ŚWIĘTOKRZYSKIE,ogółem,2010,20
ŚWIĘTOKRZYSKIE,ogółem,2011,23
ŚWIĘTOKRZYSKIE,ogółem,2012,24
ŚWIĘTOKRZYSKIE,ogółem,2013,27
ŚWIĘTOKRZYSKIE,ogółem,2014,28
ŚWIĘTOKRZYSKIE,ogółem,2015,29
ŚWIĘTOKRZYSKIE,ogółem,2016,31
ŚWIĘTOKRZYSKIE,ogółem,2017,40
ŚWIĘTOKRZYSKIE,ogółem,2018,35
ŚWIĘTOKRZYSKIE,ogółem,2019,35
ŚWIĘTOKRZYSKIE,ogółem,2020,35
ŚWIĘTOKRZYSKIE,ogółem,2021,30
